,H100,H101,H102,H103,H104,H105,H106,H107,H108,H109,H110,H111,H112,H113,H114,H115,H116,H117,H118,H119,H120,H121,H122,H123,H124,H125,H126,H127,H128,H129,H130,H131,H132,H133,H134,H135,H136,H137,H138,H139,H140,H141,H142,H143,H144,H145,H146,H147,H148,H149,H150,H151,H152,H153,H154,H155,H156,H157,H158,H159,H160,H161,H162,H163,H164,H165,H166,H167,H168,H169,H170,H171,H172,H173,H174,H175,H176,H177,H178,H179,H180,H041,H042,H043,H044,H045,H046,H047,H048,H049,H050,H051,H052,H053,H054,H055,H056,H057,H058,H059,H060,H061,H062,H063,H064,H065,H066,H067,H068,H069,H070,H071,H072,H073,H074,H075,H076,H077,H078,H079,H080,H081,H082,H083,H084,H085,H086,H087,H088,H089,H090,H091,H092,H093,H094,H095,H096,H097,H098,H099,taxonomy,otu,old name,new_name,acc,%id,,,,,taxonomy,acc,%identity
Otu725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi,Otu725,Eukaryota;Opisthokonta;Nucletmycea;Fungi,#N/A,#N/A,#N/A,,,,Otu2065,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Granofilosea; o__Limnofilida; f__Limnofilidae; g__Limnofilidae_X; s__Limnofilidae_X+sp.,AY082993,97.71
Otu659,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,5,1,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1,0,0,2,3,0,0,0,0,1,0,1,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita,Otu659,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Proleptomonadidae; g__Proleptomonas; s__Proleptomonas+faecicola,AF411275,98.86,,,,Otu2081,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Novel-clade-10-12; o__Novel-clade-12; f__NC12B-lineage; g__NC12B-lineage_X; s__NC12B-lineage_X+sp.,DQ244000,94.89
Otu922,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,3,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes,Otu922,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota;Agaricomycotina;Agaricomycetes,#N/A,#N/A,#N/A,,,,Otu2094,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Sandonidae; g__Flectomonas; s__Flectomonas+ekelundi,HM536169,99.35
Otu2200,0,0,1,2,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,1,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,2,2,1,1,1,2,2,1,0,0,0,1,0,3,0,1,1,3,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales,Otu2200,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Eurotiomycetes;Eurotiales,#N/A,#N/A,#N/A,,,,Otu2105,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Imbricatea; o__Euglyphida; f__Euglyphidae; g__Sphenoderia; s__Sphenoderia+pseudominuta,KF539408,88.76
Otu1110,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Euglyphida;Euglyphidae;Euglypha,Otu1110,Eukaryota;SAR;Rhizaria;Cercozoa;Imbricatea;Silicofilosea;Euglyphida;Euglyphidae;Euglypha,#N/A,#N/A,#N/A,,,,Otu2106,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__Allapsidae_X; s__Allapsidae_X+sp.,AB695526,95.98
Otu1694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Eukaryota;Amoebozoa,Otu1694,Eukaryota;Amoebozoa,#N/A,#N/A,#N/A,,,,Otu2109,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Cercomonadida; f__Paracercomonadidae; g__Nucleocercomonas; s__Nucleocercomonas+praelonga,HM536166,88.83
Otu2180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia,Otu2180,Eukaryota;SAR;Alveolata;Ciliophora;Intramacronucleata;Spirotrichea;Hypotrichia,d__Eukaryota; sg__Alveolata; p__Ciliophora; c__Spirotrichea; o__Hypotrichia; f__Oxytrichidae; g__Oxytrichidae_X; s__Oxytrichidae_X+sp.,EF024283,94.97,,,,Otu2115,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Cercomonadida; f__Cercomonadidae; g__Eocercomonas; s__Eocercomonas+sp.,HM536152,90
Otu798,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota,Otu798,Eukaryota,#N/A,#N/A,#N/A,,,,Otu2116,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Cercomonadida; f__Cercomonadidae; g__Cercomonas; s__Cercomonas+sp.,HM536151,96.57
Otu2571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1,0,1,0,0,0,1,1,1,1,0,0,4,1,0,1,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales,Otu2571,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Ascomycota;Pezizomycotina;Leotiomycetes;Helotiales,#N/A,#N/A,#N/A,,,,Otu2125,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Glissomonadida_X; g__Glissomonadida_XX; s__Glissomonadida_XX+sp.,KC672643,95.21
Otu637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,0,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,3,8,4,1,0,1,0,Eukaryota;SAR;Rhizaria;Cercozoa,Otu637,Eukaryota;SAR;Rhizaria;Cercozoa,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Imbricatea; o__Euglyphida; f__Euglyphidae; g__Tracheleuglypha; s__Tracheleuglypha+dentata,AJ418790,99.43,,,,Otu2127,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Glissomonadida_X; g__Glissomonadida_XX; s__Glissomonadida_XX+sp.,KC672643,95.6
Otu479,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,Eukaryota;SAR;Stramenopiles;Peronosporomycetes,Otu479,Eukaryota;SAR;Stramenopiles;Peronosporomycetes,d__Eukaryota; sg__Stramenopiles; p__Stramenopiles_X; c__Oomycota; o__Oomycota_X; f__Saprolegniales; g__Achlya; s__Achlya+bisexualis,M32705,96.02,,,,Otu2170,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__Allapsidae_X; s__Allapsidae_X+sp.,EF023289,91.43
Otu2240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Araeolaimida,Otu2240,Eukaryota;Opisthokonta;Holozoa;Metazoa (Animalia);Eumetazoa;Bilateria;Nematoda;Chromadorea;Araeolaimida,d__Eukaryota; sg__Opisthokonta; p__Metazoa; c__Nematoda; o__Chromadorea; f__Chromadorea_X; g__Tylocephalus; s__Tylocephalus+auriculatus,AF202155,99.43,,,,Otu2197,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Cercomonadida; f__Cercomonadidae; g__Cercomonas; s__Cercomonas+paraglobosa,FJ790698,90.4
Otu211,1,0,2,2,2,0,39,1,6,2,1,7,0,10,0,2,2,2,4,4,0,0,1,0,0,0,0,1,0,2,0,3,0,5,1,1,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,1,1,1,0,9,4,0,Eukaryota;SAR;Stramenopiles;Labyrinthulomycetes;Sorodiplophrys,Otu211,Eukaryota;SAR;Stramenopiles;Labyrinthulomycetes;Sorodiplophrys,d__Eukaryota; sg__Stramenopiles; p__Stramenopiles_X; c__Labyrinthulea; o__Thraustochytriales; f__Thraustochytriaceae; g__Thraustochytriaceae_X; s__Thraustochytriaceae_X+sp.,AY919687,90.85,,,,Otu2215,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Sandonidae; g__Sandona; s__Sandona+aporians,AY965867,97.67
Otu253,22,2,8,15,7,9,24,7,17,3,2,35,6,11,4,9,5,7,24,6,8,4,3,6,8,6,2,13,4,9,3,6,7,7,3,8,6,6,2,11,1,2,0,1,1,0,2,1,0,0,0,1,1,0,1,1,1,2,4,1,0,0,0,0,0,0,9,0,0,1,2,0,1,1,2,0,0,0,0,0,0,3,1,5,5,3,4,3,0,1,2,9,13,7,13,2,8,3,0,3,3,5,0,5,3,1,3,13,0,6,3,1,2,9,2,3,4,7,3,8,1,0,8,2,2,0,5,65,2,1,30,2,6,12,7,7,5,9,6,9,Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae,Otu253,Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae,d__Eukaryota; sg__Stramenopiles; p__Ochrophyta; c__Xanthophyceae; o__Xanthophyceae_X; f__Xanthophyceae_XX; g__Botrydiopsis; s__Botrydiopsis+intercedens,U41647,100,,,,Otu2225,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Sandonidae; g__Sandonidae_X; s__Sandonidae_X+sp.,EU709138,93.6
Otu1227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Eukaryota;Haptophyta;Prymnesiophyceae;Prymnesiales,Otu1227,Eukaryota;Haptophyta;Prymnesiophyceae;Prymnesiales,d__Eukaryota; sg__Apusozoa; p__Apusomonadidae; c__Apusomonadidae_Group-1; o__Apusomonadidae_Group-1_X; f__Apusomonadidae_Group-1_XX; g__Amastigomonas; s__Amastigomonas+sp.,EU542598,98.29,,,,Otu2226,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Imbricatea; o__Euglyphida; f__Euglyphidae; g__Sphenoderia; s__Sphenoderia+pseudominuta,KF539408,92.13
Otu3052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea,Otu3052,Eukaryota;SAR;Rhizaria;Cercozoa;Thecofilosea,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Thecofilosea; o__Cryomonadida; f__Rhogostomidae; g__Rhogostomidae_X; s__Rhogostomidae_X+sp.,EF023812,96.57,,,,Otu2239,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Sandonidae; g__Mollimonas; s__Mollimonas+vickermani,HQ918173,90.57
Otu362,1,0,0,0,0,8,0,0,0,3,2,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,3,0,0,0,1,0,0,0,0,1,2,0,0,0,1,4,0,0,0,0,6,0,0,0,0,0,1,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,1,0,0,0,0,1,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota,Otu362,Eukaryota;Opisthokonta;Nucletmycea;Fungi;Dikarya;Basidiomycota,#N/A,#N/A,#N/A,,,,Otu2245,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Filosa; o__Filosa_X; f__Filosa_XX; g__Micrometopion; s__Micrometopion+nutans,HQ121441,88.7
Otu1455,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,3,2,2,8,2,1,1,0,0,0,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae;Mischococcales,Otu1455,Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae;Mischococcales,d__Eukaryota; sg__Stramenopiles; p__Ochrophyta; c__Xanthophyceae; o__Xanthophyceae_X; f__Xanthophyceae_XX; g__Botrydiopsis; s__Botrydiopsis+intercedens,U41647,96.18,,,,Otu2250,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Sarcomonadea_X; f__Sarcomonadea_XX; g__Sarcomonadea_XXX; s__Sarcomonadea_XXX+sp.,EF023422,89.77
Otu1139,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Eukaryota;Opisthokonta;Nucletmycea;Fungi,Otu1139,Eukaryota;Opisthokonta;Nucletmycea;Fungi,#N/A,#N/A,#N/A,,,,Otu2252,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Sandonidae; g__Sandona; s__Sandona+aporians,AY965867,89.53
Otu2613,13,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,Eukaryota;SAR;Alveolata;Protalveolata,Otu2613,Eukaryota;SAR;Alveolata;Protalveolata,d__Eukaryota; sg__Alveolata; p__Perkinsea; c__Perkinsida; o__Perkinsida_X; f__Perkinsida_XX; g__Perkinsida_XXX; s__Perkinsida_XXX+sp.,HQ219366,92.57,,,,Otu2268,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Cercomonadida; f__Cercomonadidae; g__Cercomonas; s__Cercomonas+sp.,EF024850,97.73
Otu1474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Eukaryota,Otu1474,Eukaryota,d__Eukaryota; sg__Amoebozoa; p__Conosa; c__Variosea; o__Variosea_X; f__Variosea_XX; g__Variosea_XXX; s__Variosea_XXX+sp.,EF023424,90.29,,,,Otu2273,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Granofilosea; o__Limnofilida; f__Limnofilidae; g__Limnofilidae_X; s__Limnofilidae_X+sp.,DQ243994,98.29
Otu263,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,3,0,1,0,2,3,0,6,0,0,1,0,7,1,4,1,1,1,0,0,0,15,0,2,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,2,0,1,0,45,2,0,0,0,0,0,0,13,0,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita,Otu263,Eukaryota;SAR;Rhizaria;Cercozoa;Glissomonadida;Heteromita,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Glissomonadida_X; g__Glissomonadida_XX; s__Glissomonadida_XX+sp.,KC672643,94.55,,,,Otu2277,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__Allapsidae_X; s__Allapsidae_X+sp.,EF023289,89.82
Otu2068,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,10,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales,Otu2068,Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;Chromulinales,d__Eukaryota; sg__Stramenopiles; p__Ochrophyta; c__Chrysophyceae-Synurophyceae; o__Chrysophyceae-Synurophyceae_X; f__Clade-C; g__Clade-C_X; s__Clade-C_X+sp.,GU067799,96,,,,Otu2284,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__Allapsa; s__Allapsa+sp.,EU709240,93.71
Otu694,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,0,4,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,3,1,1,0,0,0,Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae;Cercomonas,Otu694,Eukaryota;SAR;Rhizaria;Cercozoa;Cercomonadidae;Cercomonas,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Cercomonadida; f__Paracercomonadidae; g__Paracercomonas; s__Paracercomonas+sp.,FJ790726,91.53,,,,Otu2285,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Glissomonadida; f__Allapsidae; g__Allapsidae_X; s__Allapsidae_X+sp.,AB695472,89.33
Otu962,0,0,0,0,1,5,0,0,2,0,0,1,4,0,1,0,0,0,0,0,2,0,2,0,1,0,3,5,0,1,0,0,0,0,0,0,0,1,0,0,1,13,41,7,5,7,3,10,22,5,14,74,8,4,6,4,8,7,8,0,10,5,11,48,38,29,17,37,45,4,7,27,7,14,208,36,39,21,6,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae,Otu962,Eukaryota;SAR;Stramenopiles;Ochrophyta;Xanthophyceae,d__Eukaryota; sg__Stramenopiles; p__Ochrophyta; c__Xanthophyceae; o__Xanthophyceae_X; f__Xanthophyceae_XX; g__Botrydiopsis; s__Botrydiopsis+intercedens,U41647,96.57,,,,Otu2288,d__Eukaryota; sg__Rhizaria; p__Cercozoa; c__Sarcomonadea; o__Cercomonadida; f__Paracercomonadidae; g__Paracercomonas; s__Paracercomonas+compacta,FJ790723,97.71
